iter	Passed	Remaining
0	3347	1670585
1	6694	1666990
2	9259	1533917
3	12639	1567311
4	15631	1547523
5	17317	1425781
6	20370	1434641
7	23178	1425481
8	26359	1438050
9	29413	1441253
10	32457	1442865
11	35421	1440456
12	38206	1431291
13	41342	1435191
14	44475	1438032
15	47634	1440936
16	50803	1443424
17	53896	1443241
18	57002	1443071
19	60140	1443370
20	63078	1438794
21	66678	1448740
22	70144	1454742
23	73271	1453212
24	76182	1447469
25	79289	1445505
26	82852	1451452
27	85782	1446046
28	88875	1443455
29	91996	1441282
30	95452	1444096
31	98493	1440465
32	101309	1433685
33	104344	1430130
34	106942	1420804
35	109681	1413674
36	112739	1410769
37	115693	1406586
38	118523	1401011
39	121333	1395340
40	124196	1390396
41	127419	1389473
42	130164	1383380
43	133271	1381179
44	136040	1375520
45	138972	1371599
46	142068	1369297
47	144975	1365190
48	148026	1362447
49	150943	1358490
50	153726	1353397
51	156613	1349286
52	159655	1346529
53	162442	1341652
54	165657	1340317
55	168507	1336026
56	171513	1332993
57	174581	1330433
58	177552	1327131
59	180215	1321580
60	183335	1319413
61	186563	1317980
62	189706	1315902
63	192820	1313586
64	195907	1311071
65	198869	1307717
66	201357	1301307
67	204606	1299851
68	207714	1297460
69	210881	1295417
70	213990	1292984
71	217133	1290735
72	220024	1286992
73	223036	1283969
74	226145	1281488
75	229212	1278762
76	232459	1277017
77	235459	1273895
78	238623	1271649
79	241425	1267484
80	244421	1264351
81	247166	1259946
82	250168	1256869
83	252964	1252774
84	256079	1250272
85	259017	1246898
86	262182	1244614
87	265249	1241849
88	267715	1236301
89	269628	1228306
90	271535	1220417
91	273566	1213209
92	275535	1205836
93	277488	1198513
94	279419	1191210
95	281535	1184796
96	283484	1177774
97	285505	1171155
98	287620	1165008
99	289742	1158968
100	291667	1152231
101	293810	1146437
102	295488	1138923
103	297341	1132186
104	299352	1126134
105	301194	1119535
106	303208	1113652
107	305213	1107811
108	307339	1102475
109	309464	1097192
110	311392	1091276
111	313404	1085722
112	315554	1080704
113	317553	1075225
114	319635	1070083
115	321822	1065343
116	323799	1059958
117	325703	1054396
118	327534	1048662
119	329622	1043805
120	331898	1039582
121	333990	1034822
122	336189	1030435
123	338297	1025803
124	340389	1021169
125	342595	1016910
126	344634	1012194
127	346760	1007772
128	348699	1002848
129	350798	998427
130	352854	993919
131	355364	990713
132	357768	987224
133	360598	984917
134	363666	983246
135	366854	981875
136	369801	979838
137	372531	977219
138	375246	974560
139	377828	971558
140	380029	967592
141	382230	963651
142	384465	959820
143	386441	955370
144	388377	950854
145	390604	947081
146	392474	942473
147	394545	938379
148	396473	933973
149	398609	930087
150	400684	926084
151	402866	922351
152	404944	918403
153	407127	914714
154	409252	910917
155	411350	907080
156	413869	904185
157	416338	901187
158	418758	898092
159	420915	894445
160	422878	890408
161	424914	886549
162	426980	882776
163	429175	879285
164	431355	875782
165	433398	872018
166	435276	867947
167	437400	864387
168	439233	860273
169	441340	856718
170	443419	853128
171	445468	849499
172	447744	846314
173	449851	842825
174	451550	838594
175	453630	835092
176	455680	831553
177	457665	827912
178	459474	823973
179	461391	820251
180	463339	816604
181	465684	813667
182	468133	810920
183	470311	807709
184	472709	804883
185	474945	801789
186	477438	799134
187	480009	796612
188	482855	794540
189	485443	792038
190	487685	788977
191	489941	785948
192	492496	783401
193	494683	780274
194	497121	777549
195	499519	774765
196	501689	771634
197	504187	769013
198	506622	766298
199	508995	763493
200	511231	760489
201	513353	757323
202	515428	754099
203	517408	750749
204	519385	747408
205	521358	744074
206	523424	740885
207	525559	737804
208	527562	734548
209	529557	731294
210	531459	727922
211	533356	724559
212	535354	721345
213	537558	718419
214	539666	715371
215	541831	712407
216	543724	709096
217	545881	706139
218	547973	703107
219	549761	699696
220	551584	696344
221	553744	693427
222	556100	690761
223	558172	687748
224	560349	684871
225	562581	682068
226	565059	679564
227	567452	676961
228	569557	674018
229	571978	671453
230	573960	668378
231	576069	665459
232	578258	662639
233	580321	659681
234	582341	656683
235	584300	653624
236	586447	650783
237	588279	647601
238	590279	644614
239	592311	641670
240	594206	638586
241	596105	635517
242	597923	632371
243	600005	629513
244	601802	626365
245	603892	623530
246	605760	620475
247	607903	617708
248	609911	614810
249	611963	611963
250	614213	609318
251	616403	606619
252	618571	603901
253	620485	600943
254	622456	598046
255	624728	595444
256	626979	592825
257	629333	590305
258	631232	587362
259	633058	584361
260	634862	581349
261	636737	578410
262	638858	575701
